tic,longitude,latitude
CPTLQ,-71.84867848182384,43.144884445225784
LLB,-92.13055882813488,34.86672288300353
CHZS,-74.35179552173912,40.85941760869565
CSRE.,-77.31926474541379,37.2628679
RAVE,-96.843391,33.031951
COMX,24.7300621,-26.9565582
LAEN,-76.1577567,43.042375
CTCI,-80.5964593,35.4490002
CENI.,-75.66746216058601,36.02957135
NU1,-72.7260369,41.6498008
CTWS,-93.50375103285916,36.931327757131186
CNLG,-70.8894559506758,42.56755205
ED,-73.72401498952482,42.6915444
D2,-77.4536657138938,37.53398284967332
CGC.1,-118.1920742,34.1393386
CMS,-71.4579681,41.4976637
NVLD,13.7756073,51.0567123
CLR,-73.5266260625,40.770221875
4622B,-93.22552056385503,44.85491696206719
CTB,-83.663108,41.025498
TAP,-118.15161720274857,33.789473349999994
ICMC.1,-70.86961277957795,42.80534965
GLW,-105.00376874739317,39.7555323
CNIG,-77.0746863,42.151724
CBDLF,-79.56178981003755,43.64727035
CSMO,-73.9493307,40.7486465
2289B,-88.103007,41.973558
CFC.3,-118.647098,34.149406
CRRC,-71.48569241894717,42.776755800000004
CBRL,-88.1242505,42.0075473
3CRMA,-73.90805085714285,42.81635214285714
CR,-73.55018354754387,41.0434884
CRD.A,-84.22584310351534,33.97687880965468
AGC1,-84.50382079591837,38.056875173469386
OMF,-94.72641896602798,31.34346275
3CBAG,-111.913851,40.75020621428571
CHMT.,-80.1959238,40.4574175
CCK,-74.596879,40.455426
CUB,-117.2071381,32.8094463
CFR,-95.30094257142858,32.34382106122449
CULP,-76.055183,36.835252
DTGP,-111.9084537,40.6519135
CMED.1,-105.211537,40.064253
DMIF,-85.6166279702124,38.245826449999996
DST,-86.536458,39.173189
WEN,-83.1017889,40.0997931
STST.,-71.0184483,42.3677118
DAN,-71.3596535,42.6281012
SMTI.1,-78.945441,35.998606
DKEY,-93.2898476,44.7699808
DMAR,-93.15453,40.758079
DMCP,-118.79603532873341,34.278278729483866
DSCP,-80.21882090909091,43.56735772727273
STIZ,-122.05788899432629,37.550074
DTSI.1,-84.5535918,38.0608034
DATM,-117.70861381305824,33.6523211
7183B,-111.9438329,41.4957692
TGT,-93.2754119,44.973652
AES5,-83.04562435204416,40.097199454613836
7413B,-112.01630684767127,41.48730177435049
DEBS,-75.027796,40.073681
DINIQ,49.67253659554035,25.941351949999998
DE,-90.4223808,41.4725984
DAL,-75.4619552,40.0434073
DGAS,-84.5441393,38.1519635
3DLTA.,-82.486585,29.565892
AMCVQ,149.38169,-32.3945665
DLX,-93.136395,44.932222
GRI.2,-93.557085,44.899883
DETC,-77.39240730769231,43.091136
DTRX,-89.9741995,35.1178699
DTE,-71.4579681,41.4976637
DEWY,-2.5815383461346366,51.48833715
8295B,-71.15876069080846,42.569964
BIOQ,47.8320943,30.5062358
LCBM,-93.6000211579894,44.8496104119794
DP,-86.25387801777002,39.92550524443516
VZ3,-75.550714,39.745752
DIAC,-73.9069058,40.7533003
VTS,-3.7895521,50.2814834
DDS,-85.16901226984093,34.65790134913157
DNEX,-121.9942474180715,37.38357338782919
DIS,-118.32650254309483,34.15512623762616
DDVS,-81.63536437716677,38.34835655
DXYN,-71.0363042619158,41.6368495
DG,-86.69912853477557,36.30894695
DFS..,-79.8615067,43.2726187
DOC.2,-73.5919572,45.4698617
D,-77.4536657138938,37.53398284967332
DTC.,-79.7490607,43.7919234
DCI,-93.29718366883961,44.834093
RRD,-90.72057674924426,42.49073068578691
ESCRQ,-88.3461696784675,39.4832674
DOV,-84.48746220612003,44.10546191844465
DVI.Z,-80.37644223600573,43.417488966091675
DD,51.5332923,25.2726777
DJ,-73.98237558133278,40.75866945
DWNFQ,-78.6816001,35.8747746
OMC,-96.1080513292401,30.917144108725893
ASNAQ,-74.17060403084594,41.07202701753897
LCRD,-122.0779941,37.4163283
DRYR,-97.334907,32.6832453
DRHA,-73.98270390034132,40.748885200000004
DUP.A,-79.7425215,43.6052227
DD.2,-77.31971041926192,40.55456411153331
ALCSQ,-97.01089,32.952498
DUK,-82.244764,34.951413
DNB,-105.0737609,40.5370972
DUNE.,-105.875576,37.297913
DQE,-2.5697537625609668,51.5006539
DLX.1,-79.4816571,43.6224055
6059B,-77.3498854659295,38.95291071170449
DYNX,-111.98161795803838,40.714743
DYNT,-93.15637193056244,44.859185436073524
DRCO.,-104.8903403,39.623809
COBR,-87.675159,41.9159869
DYSL,-122.1999653,47.6183304
3ACTRQ,-77.26299394423899,39.200704099999996
